2023-06-26T20:43Z INFO main | START /app/nudge-3.5.0.jar
2023-06-26T20:43Z INFO main | CONFIG /app/nudge.properties
2023-06-26T20:43Z INFO main | LOG /app/log/nudge.log
2023-06-26T20:43Z INFO main | Version 3.5.0
2023-06-26T20:43Z SEVERE main | config app_id = 60ed2ee8-2bbc-4256-a80b-8327ec4ca940 (mandatory)
2023-06-26T20:43Z SEVERE main | config server_url = [http://host.docker.internal:8081] (default = [])
2023-06-26T20:43Z INFO main | Orchestrator STARTED
2023-06-26T20:43Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - jdk/jfr/internal/EventWriter (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | ignored class : java/security/BasicPermissionCollection (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/JarLauncher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/ExecutableArchiveLauncher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/Launcher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper$FXHelper (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/LaunchedURLClassLoader (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/lang/IllegalStateException (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFile (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryVisitor (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessData (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/FileHeader (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarEntry (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/Handler (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/AsciiBytes (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/lang/IndexOutOfBoundsException (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/io/EOFException (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$DataInputStream (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$FileAccess (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/io/RandomAccessFile (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/io/DataOutput (BootstrapClassLoader)
